booking_id,passenger_id,flight_id,booking_date,travel_date,fare_class,fare_amount,tax_amount,booking_status,miles_earned
9000000,700126,41969,2026-01-03,2026-01-10,Economy,5440.0,1102.8,Confirmed,1088
9000001,701400,41645,2025-08-07,2025-08-21,Economy,4839.0,1030.68,Confirmed,967
9000002,701410,41266,2025-06-03,2025-07-01,Economy,6726.0,1257.12,Confirmed,1345
9000003,700059,41769,2025-02-12,2025-02-21,Economy,5952.0,1164.24,Confirmed,1190
9000004,700087,41863,2025-11-04,2025-12-30,Business,70375.0,8895.0,Confirmed,14075
9000005,700468,41182,2025-05-04,2025-06-24,Economy,5417.0,1100.04,Confirmed,1083
9000006,700641,41450,2025-08-01,2025-09-08,Economy,7370.0,1334.4,Confirmed,1474
9000007,701234,41046,2025-04-01,2025-05-28,Economy,8290.0,1444.8,Confirmed,1658
9000008,700070,41844,2025-05-16,2025-07-13,Business,44118.0,5744.16,Confirmed,8823
9000009,700091,41457,2025-05-30,2025-06-09,Economy,7759.0,1381.08,Confirmed,1551
9000010,701238,41689,2025-10-24,2025-12-03,Economy,5175.0,1071.0,Confirmed,1035
9000011,700605,41808,2025-05-07,2025-06-11,Economy,7255.0,1320.6,Cancelled,1451
9000012,700022,41502,2025-01-03,2025-01-07,Premium Economy,10391.0,1696.92,Confirmed,2078
9000013,700302,40610,2026-01-17,2026-02-03,Economy,6837.0,1270.44,Confirmed,1367
9000014,700933,40914,2025-10-12,2025-11-22,Economy,4967.0,1046.04,Confirmed,993
9000015,700253,40565,2025-05-22,2025-06-04,Premium Economy,13109.0,2023.08,Confirmed,2621
9000016,700052,40107,2025-11-02,2025-12-28,Economy,6102.0,1182.24,Confirmed,1220
9000017,700072,41287,2025-07-29,2025-08-26,Economy,5809.0,1147.08,Confirmed,1161
9000018,701017,40663,2025-10-15,2025-11-21,Premium Economy,10575.0,1719.0,Confirmed,2115
9000019,700092,40130,2025-06-18,2025-08-17,Economy,4802.0,1026.24,Cancelled,960
9000020,701074,41991,2025-06-22,2025-07-15,Economy,5416.0,1099.92,Confirmed,1083
9000021,700040,40852,2025-10-18,2025-11-29,Premium Economy,15436.0,2302.32,Confirmed,3087
9000022,700107,40236,2025-06-26,2025-08-14,Business,37420.0,4940.4,Confirmed,7484
9000023,700281,41316,2025-11-23,2026-01-16,Economy,6113.0,1183.56,Confirmed,1222
9000024,701008,41025,2026-03-07,2026-03-28,Economy,8766.0,1501.92,Confirmed,1753
9000025,700058,40048,2025-04-30,2025-06-12,Premium Economy,12971.0,2006.52,Confirmed,2594
9000026,700336,41193,2026-02-01,2026-03-05,Economy,7595.0,1361.4,Confirmed,1519
9000027,700412,40813,2025-02-12,2025-02-26,Economy,6603.0,1242.36,Confirmed,1320
9000028,701334,41544,2025-06-30,2025-08-08,Economy,5498.0,1109.76,Confirmed,1099
9000029,700052,41375,2025-07-09,2025-08-11,Premium Economy,12125.0,1905.0,Confirmed,2425
9000030,700621,40409,2025-07-13,2025-08-31,Economy,12927.0,2001.24,Confirmed,2585
9000031,700130,40739,2025-04-20,2025-05-20,Economy,6965.0,1285.8,Confirmed,1393
9000032,700338,40048,2025-05-23,2025-06-12,Economy,5787.0,1144.44,NoShow,1157
9000033,700159,41885,2025-11-01,2025-12-03,Economy,7558.0,1356.96,Confirmed,1511
9000034,700000,41262,2025-10-13,2025-10-20,Business,57370.0,7334.4,Confirmed,11474
9000035,700048,40621,2025-12-23,2026-01-21,Economy,6371.0,1214.52,Confirmed,1274
9000036,700008,41988,2025-07-01,2025-07-29,Premium Economy,12653.0,1968.36,Confirmed,2530
9000037,700975,41840,2025-09-19,2025-09-27,Economy,8728.0,1497.36,Confirmed,1745
9000038,700559,40357,2025-11-03,2025-11-04,Economy,7355.0,1332.6,Confirmed,1471
9000039,700096,40553,2026-01-05,2026-01-07,Premium Economy,13031.0,2013.72,Confirmed,2606
9000040,700090,40061,2026-02-24,2026-02-27,Economy,7888.0,1396.56,NoShow,1577
9000041,700385,41344,2025-11-24,2025-11-29,Business,44571.0,5798.52,Confirmed,8914
9000042,700012,40480,2025-10-30,2025-12-14,Economy,4116.0,943.92,Confirmed,823
9000043,700760,40586,2025-02-21,2025-03-17,Economy,4788.0,1024.56,Confirmed,957
9000044,700762,41487,2024-12-07,2025-01-12,Economy,5157.0,1068.84,Confirmed,1031
