flight_id,flight_number,origin_airport_code,dest_airport_code,aircraft_code,flight_date
40000,VA453,HYD,SIN,AC06,2025-07-30
40001,VA777,AUH,BOM,AC04,2025-05-07
40002,VA419,GOI,CDG,AC10,2025-02-13
40003,VA989,SFO,BLR,AC05,2025-02-28
40004,VA120,DXB,CCU,AC09,2025-06-16
40005,VA773,BOM,KUL,AC07,2025-10-18
40006,VA373,CMB,SIN,AC01,2025-12-23
40007,VA122,BKK,LHR,AC06,2025-07-13
40008,VA430,LHR,DOH,AC10,2025-02-20
40009,VA807,BKK,HYD,AC04,2025-06-22
40010,VA930,BKK,CMB,AC06,2025-03-27
40011,VA472,FRA,AMD,AC07,2025-04-14
40012,VA967,BKK,CDG,AC02,2026-03-07
40013,VA394,KTM,COK,AC05,2025-01-25
40014,VA511,AMD,LHR,AC04,2025-11-16
40015,VA834,HKG,BLR,AC10,2025-02-18
40016,VA379,LHR,DXB,AC02,2025-10-18
40017,VA537,CMB,BKK,AC04,2025-06-27
40018,VA943,BLR,CDG,AC05,2025-09-16
40019,VA779,AMD,SIN,AC09,2025-06-10
40020,VA511,COK,SIN,AC05,2025-11-16
40021,VA787,CMB,KUL,AC09,2025-04-03
40022,VA820,DEL,CDG,AC09,2026-03-18
40023,VA611,CCU,LHR,AC04,2025-12-05
40024,VA374,HKG,KUL,AC09,2026-02-19
40025,VA679,FRA,SIN,AC01,2025-09-25
40026,VA573,COK,AUH,AC03,2025-05-04
40027,VA801,MAA,HKG,AC05,2026-03-09
40028,VA980,SIN,DXB,AC02,2025-11-21
40029,VA373,COK,SIN,AC05,2025-11-27
40030,VA803,CCU,PNQ,AC10,2025-05-01
40031,VA216,DOH,GOI,AC03,2025-04-09
40032,VA916,DEL,GOI,AC05,2025-08-26
40033,VA546,BKK,KTM,AC07,2025-11-28
40034,VA263,BOM,COK,AC05,2025-03-11
40035,VA908,DEL,PNQ,AC05,2025-12-04
40036,VA759,KTM,CCU,AC01,2026-01-05
40037,VA156,BKK,DEL,AC02,2025-06-10
40038,VA987,FRA,AMD,AC02,2025-07-28
40039,VA773,AUH,JFK,AC02,2025-07-23
40040,VA341,HKG,MAA,AC02,2025-10-20
40041,VA223,HKG,CMB,AC09,2025-12-07
40042,VA357,LHR,CMB,AC08,2026-03-29
40043,VA714,BLR,GOI,AC02,2026-01-31
40044,VA854,DXB,LHR,AC07,2026-02-17
40045,VA533,HKG,GOI,AC04,2025-03-15
40046,VA319,HYD,CCU,AC05,2025-08-14
40047,VA983,SIN,PNQ,AC10,2025-01-29
40048,VA483,BKK,KTM,AC02,2025-06-12
40049,VA586,KTM,SIN,AC04,2025-05-23
40050,VA586,MAA,AUH,AC06,2026-02-25
40051,VA760,AMD,DEL,AC10,2025-01-18
40052,VA918,HKG,JFK,AC01,2025-12-20
40053,VA359,JFK,GOI,AC09,2025-07-16
40054,VA817,AMD,CDG,AC06,2026-02-20
40055,VA647,JFK,HYD,AC04,2026-03-16
40056,VA108,KUL,DOH,AC07,2025-05-11
40057,VA942,AMD,BLR,AC04,2025-06-02
